City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Oudtshoorn,ZA,79.16,clear sky,-33.5907,22.2014,Earthbound Guest House
391,San Policarpo,PH,83.91,overcast clouds,12.1791,125.5072,Agapita M. Nicart
392,Meulaboh,ID,85.84,broken clouds,4.1363,96.1285,Kost Pria
394,Curup,ID,85.48,overcast clouds,-3.4667,102.5333,Ayi The Costel
395,Oyabe,JP,70.48,overcast clouds,36.676,136.8672,wabisabi isurugi kashiwaya
398,Galesong,ID,87.82,scattered clouds,-5.3166,119.3661,Sapriadi Appy
399,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
401,Carson City,US,70.63,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
405,Belmonte,BR,75.24,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
410,Taoudenni,ML,85.33,clear sky,22.6783,-3.9836,
414,Vertientes,CU,75.81,moderate rain,21.2594,-78.1464,
415,Palmas,BR,76.87,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
420,Mamallapuram,IN,87.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
421,Vaitape,PF,81.95,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
422,Port-Gentil,GA,79.66,moderate rain,-0.7193,8.7815,Fengshui Residence
430,Payo,ID,90.0,broken clouds,-3.7508,103.6372,Mess keban agung
432,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
434,San Carlos,VE,74.1,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
440,Dingle,PH,89.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
441,Victoria Point,AU,79.16,scattered clouds,-27.5833,153.3,Bay Retreat Motel
442,Fare,PF,81.64,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
445,Liuzhou,CN,76.42,broken clouds,24.3126,109.3892,Linjiang Inn
451,Balkhash,KZ,74.01,clear sky,46.844,74.9804,Family
455,El Tigre,VE,76.15,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
458,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
461,Marzuq,YE,77.4,few clouds,14.4,46.4667,
462,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
463,Cururupu,BR,76.03,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
464,Fuling,CN,74.28,overcast clouds,29.7022,107.3919,Yingbin Hostel
465,Mackay,AU,84.69,clear sky,-21.15,149.2,International Lodge Motel
473,Yatou,CN,73.92,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
476,Karur,IN,86.9,overcast clouds,10.95,78.0833,Hotel Valluvar
479,Heyang,CN,70.02,overcast clouds,26.1011,107.473,
481,Suleja,NG,75.0,overcast clouds,9.1758,7.1808,Capy Motel
484,Kota Tinggi,MY,89.64,overcast clouds,1.7381,103.8999,Canopy Tribe
486,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
487,Sinnamary,GF,77.7,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
489,Redlands,US,77.31,haze,34.0556,-117.1825,Dynasty Suites Redlands
490,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
491,Mogadishu,SO,82.27,few clouds,2.0371,45.3438,Hotel Juba
492,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
493,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
494,Mahibadhoo,MV,83.3,overcast clouds,3.7833,72.9667,Omadhoo Inn
498,Mingguang,CN,84.94,clear sky,32.7802,117.9638,Yonghao Hotel
500,Santa Marta,CO,84.88,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
501,Waingapu,ID,85.87,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
503,Ugoofaaru,MV,83.21,overcast clouds,5.6667,73.0,Ungoofaaru Inn
505,Nabire,ID,85.95,few clouds,-3.3667,135.4833,Hotel Nusantara I
506,Poso,ID,86.52,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
511,Karratha,AU,77.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
512,Biak,ID,82.63,broken clouds,-0.9131,122.8766,Penginapan Kim
515,Vung Tau,VN,84.79,overcast clouds,10.346,107.0843,Seaside Resort
516,Tawau,MY,86.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
519,Delano,US,81.18,clear sky,35.7688,-119.247,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
520,Espanola,US,74.14,few clouds,35.9911,-106.0806,Santa Claran Hotel Casino
522,Pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
524,Stephenville,US,82.17,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
526,Mitsamiouli,KM,79.63,clear sky,-11.3847,43.2844,Foyer ADM
527,Atambua,ID,85.73,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
528,Kapit,MY,76.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
533,Santa Ana,US,70.56,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
536,Kalmunai,LK,87.12,broken clouds,7.4167,81.8167,VS Villa
537,San Patricio,US,80.46,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
539,Beihai,CN,74.19,scattered clouds,21.4833,109.1,21 Degree Hostel
547,Buala,SB,83.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
549,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
553,Gizo,SB,83.84,few clouds,-8.103,156.8419,Imagination Island
555,Bousso,TD,84.54,overcast clouds,10.4795,16.7117,
557,Shakhtinsk,KZ,74.88,clear sky,49.71,72.5872,Orifleym
564,Ariyalur,IN,88.45,overcast clouds,11.1333,79.0833,BERGAMONT HOTEL
565,Atar,MR,87.1,overcast clouds,20.5169,-13.0499,Oumou Elghoura
567,Dabeiba,CO,74.61,overcast clouds,7.0017,-76.2672,Hotel Amerindia
568,Sapele,NG,74.86,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
569,Raga,SS,72.21,broken clouds,8.4596,25.678,
570,Quang Ngai,VN,78.84,overcast clouds,15.1167,108.8,Central Hotel
571,Giehun,SL,72.03,overcast clouds,7.8833,-11.05,
574,Adrar,MR,83.19,scattered clouds,20.5022,-10.0711,
581,Kandrian,PG,85.71,few clouds,-6.2167,149.55,Kandrian Station
587,Harper,LR,78.82,overcast clouds,4.375,-7.7169,Screensaver
588,Poum,NC,78.4,broken clouds,-20.2333,164.0167,
589,Itanagar,IN,71.02,moderate rain,27.1,93.6167,Hotel Moomsie Itanagar
592,Sakaiminato,JP,73.38,scattered clouds,35.55,133.2333,Italian pasley
594,Sorong,ID,83.14,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
595,Angoram,PG,89.1,broken clouds,-4.0625,144.0661,
597,Lamu,KE,77.22,moderate rain,-2.2717,40.902,Lamu House
603,Sao Jose Do Belmonte,BR,72.16,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
604,Port Macquarie,AU,72.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
605,Yulara,AU,73.76,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
606,Hun,LY,72.86,clear sky,29.1268,15.9477,Alrwasi Hotel
609,Zhangye,CN,73.45,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
611,Omboue,GA,77.0,light rain,-1.5746,9.2618,Hotel Olako
612,Ambilobe,MG,70.75,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
614,Coahuayana,MX,74.12,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
616,Lumphat,KH,83.64,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
617,Auki,SB,84.7,broken clouds,-8.7676,160.7034,Auki Motel
618,Paragominas,BR,73.0,overcast clouds,-2.9667,-47.4833,INOVA
621,Dickinson,US,82.35,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
622,Maryborough,AU,82.11,few clouds,-25.5333,152.7,Blue Shades Motel
623,Jacksonville,US,79.03,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
625,Martapura,ID,84.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
626,Tuy Hoa,VN,80.19,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
628,Dalby,AU,76.23,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
630,Umm Lajj,SA,81.05,clear sky,25.0213,37.2685,Moon light Furnished Units
632,Soyo,AO,76.89,overcast clouds,-6.1349,12.3689,Hotel Mpampa
633,Xuddur,SO,73.0,few clouds,4.1213,43.8894,Banjanay Hotel
634,Balkanabat,TM,74.52,few clouds,39.5108,54.3671,Nebitchi Hotel
636,La Orilla,MX,77.32,few clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
637,Nelson Bay,AU,73.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
638,Tautira,PF,80.28,light rain,-17.7333,-149.15,Pension Oaoa
641,Daru,PG,81.18,scattered clouds,-9.0763,143.2092,Daru Lodge
643,Birao,CF,83.01,overcast clouds,10.2849,22.7882,
647,Fort Smith,US,70.25,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
650,Puerto Baquerizo Moreno,EC,72.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
653,Pagudpud,PH,87.78,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
655,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
656,Tual,ID,83.89,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
658,Red Bluff,US,81.28,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
659,Mersing,MY,87.71,scattered clouds,2.4312,103.8405,Timotel Hotel
663,Bonfim,BR,77.54,overcast clouds,3.0833,-59.95,
665,Tessalit,ML,83.05,scattered clouds,20.1986,1.0114,
669,Mattru,SL,75.79,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
670,Sambava,MG,74.12,few clouds,-14.2667,50.1667,Melrose
671,Luis Correia,BR,77.13,broken clouds,-2.8792,-41.6669,Hotel Amarração
673,Mana,GF,77.34,light rain,5.6592,-53.7767,LE SAMANA
674,Tomatlan,MX,72.55,overcast clouds,19.9333,-105.25,El Salvial
677,Fukue,JP,71.96,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
679,Xuchang,CN,89.62,clear sky,34.0167,113.8167,Super 8 Hotel
685,Tadine,NC,77.11,broken clouds,-21.55,167.8833,
686,Takoradi,GH,79.05,broken clouds,4.8845,-1.7554,Raybow International Hotel
687,Banda Aceh,ID,86.76,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
689,Pakala,IN,81.01,overcast clouds,13.4667,79.1167,ViswanathBollineni guesthouse @
692,Goure,NE,75.58,few clouds,13.9835,10.2704,
698,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
700,Ayagoz,KZ,73.06,clear sky,47.9714,80.4392,ХАН
701,Sibu,MY,82.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
