City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chaohu,CN,31.6,117.8667,78.44,37,0,9.69,clear sky
80,Nome,US,64.5011,-165.4064,43.16,64,0,10.36,clear sky
81,Burnie,AU,-41.0667,145.9167,59.92,72,46,18.03,light rain
82,Tsiroanomandidy,MG,-18.7667,46.0333,56.21,86,0,3.09,clear sky
83,Klaksvik,FO,62.2266,-6.589,49.12,92,99,21.99,overcast clouds
84,Butaritari,KI,3.0707,172.7902,83.32,68,68,10.89,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,56.91,73,70,5.01,broken clouds
86,Mokhsogollokh,RU,61.4681,128.9203,40.95,79,100,4.23,light rain
87,Kapaa,US,22.0752,-159.319,80.58,83,40,9.22,scattered clouds
88,Kozlovka,RU,55.8428,48.2492,46.06,89,91,8.46,overcast clouds
89,Dwarka,IN,22.2394,68.9678,83.88,69,0,15.08,clear sky
90,Flin Flon,CA,54.7682,-101.865,40.33,71,52,6.55,broken clouds
91,Cervo,ES,43.6702,-7.4101,63.97,78,0,6.58,clear sky
92,Northam,GB,51.0333,-4.2167,56.39,91,6,14.25,clear sky
93,Mehamn,NO,71.0357,27.8492,33.71,93,40,10.36,light snow
94,Saskylakh,RU,71.9167,114.0833,21.65,89,41,6.8,scattered clouds
95,Fatwa,IN,25.5167,85.3167,89.69,59,82,10.49,broken clouds
96,High Level,CA,58.5169,-117.136,57.31,47,100,13.8,overcast clouds
97,Vanimo,PG,-2.6741,141.3028,85.15,70,25,7.14,scattered clouds
98,Wamba,NG,8.9333,8.6,74.28,84,94,0.78,light rain
99,Togur,RU,58.3631,82.8265,68.45,52,100,14.83,overcast clouds
100,Nago,JP,26.5881,127.9761,68.85,89,100,14.72,light rain
101,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,10.36,broken clouds
102,Port Elizabeth,ZA,-33.918,25.5701,67.32,37,0,5.75,clear sky
103,Joetsu,JP,37.1483,138.2364,62.42,57,100,2.33,overcast clouds
104,Bar Bigha,IN,25.2167,85.7333,91.78,52,72,7.9,broken clouds
105,Vestmannaeyjar,IS,63.4427,-20.2734,48.27,76,100,16.64,overcast clouds
106,Mirnyy,RU,62.5353,113.9611,41.59,88,100,3.42,light rain
107,Villa Rica,US,33.7321,-84.9191,73.0,78,5,7.54,clear sky
108,Ancud,CL,-41.8697,-73.8203,45.91,74,99,7.92,overcast clouds
109,Tuatapere,NZ,-46.1333,167.6833,51.04,87,100,5.77,light rain
110,Dunkirk,FR,51.05,2.3667,63.01,89,100,5.21,overcast clouds
111,Merauke,ID,-8.4667,140.3333,82.31,68,27,8.21,scattered clouds
112,Port Alfred,ZA,-33.5906,26.891,69.71,51,0,13.13,clear sky
113,Byron Bay,AU,-28.65,153.6167,68.7,87,99,10.16,overcast clouds
114,Dekar,BW,-21.5333,21.9333,55.6,71,8,11.27,clear sky
115,Bluff,NZ,-46.6,168.3333,54.81,83,100,13.69,overcast clouds
116,Tiznit,MA,29.5833,-9.5,61.9,71,0,2.19,clear sky
117,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.01,93,81,6.13,broken clouds
118,Amahai,ID,-3.3333,128.9167,85.93,68,19,4.14,few clouds
119,Thompson,CA,55.7435,-97.8558,37.56,75,0,4.61,clear sky
120,Kiruna,SE,67.8557,20.2251,29.32,69,44,4.61,scattered clouds
121,Castro,BR,-24.7911,-50.0119,41.5,86,0,7.4,clear sky
122,Dongying,CN,37.4564,118.4856,87.69,11,43,10.07,scattered clouds
123,Grindavik,IS,63.8424,-22.4338,51.75,71,0,8.05,clear sky
124,Isangel,VU,-19.55,169.2667,84.31,70,40,6.91,scattered clouds
125,Manicore,BR,-5.8092,-61.3003,76.95,100,40,4.61,scattered clouds
126,Kavaratti,IN,10.5669,72.642,80.74,79,100,23.26,overcast clouds
127,Lichuan,CN,30.3,108.85,65.8,52,100,1.3,overcast clouds
128,Ixtapa,MX,20.7,-105.2,78.03,73,20,0.0,few clouds
129,Lar,IN,26.2039,83.9717,92.41,53,2,11.16,clear sky
130,Cape Coast,GH,5.1053,-1.2466,79.07,89,92,7.11,light rain
131,Kattivakkam,IN,13.2167,80.3167,87.89,84,96,10.78,overcast clouds
132,Ilukste,LV,55.9775,26.2966,34.25,95,24,7.45,few clouds
133,Naze,JP,28.3667,129.4833,63.52,81,100,11.72,light rain
134,Manokwari,ID,-0.8667,134.0833,84.43,65,19,6.6,few clouds
135,Rundu,NA,-17.9333,19.7667,53.94,55,29,6.49,scattered clouds
136,Usinsk,RU,65.9939,57.5281,35.19,99,100,10.96,overcast clouds
137,Loreto,MX,22.2667,-101.9667,72.41,18,99,19.6,overcast clouds
138,Kisangani,CD,0.5167,25.2,69.4,99,100,1.28,light rain
139,Kodiak,US,57.79,-152.4072,60.31,27,20,10.36,few clouds
140,Whitehorse,CA,60.7161,-135.0538,44.02,85,100,15.01,light rain
141,Amapa,BR,1.0,-52.0,73.31,99,100,1.34,overcast clouds
142,Airai,TL,-8.9266,125.4092,76.64,42,23,2.68,few clouds
